OrderId,OrderTime,OrderDay,OrderTime(H:M),ShipPrefecture,ShipCity,Title,Brand,Condition,Category,Color,Season,TotalPrice（商品合計金額）,Total（請求金額）,Total（請求金額＊ポイント含まない）,UnitPrice（単価）,UsePoint（利用ポイント金額）,TotalMallCouponDiscount（クーポン値引金額）,ShipCharge（送料）,
10000171,6/24/22 18:45,2022/06/24,18:45,千葉県,木更津市八幡台,美品/横浜元町フクゾー FUKUZO ブラウス 表記36 小さい 7号 S相当 白 ホワイト カットワークレース 7分袖 綿100 春 夏 トップス レディース,横浜元町フクゾー,美品,トップス,ホワイト,夏,5880,5880,5880,5280,0,0,600,
10000170,6/24/22 3:30,2022/06/24,03:30,千葉県,柏市,新品タグ【モスキーノ】伊製*夜空刺繍ジャケット*大きいサイズ13,モスキーノ,新品,アウター,,,17210,17210,17210,17210,0,0,0,
10000169,6/24/22 0:25,2022/06/24,00:25,千葉県,市原市,M美品*ハロッズHarrods♪純白×微艶♪伸縮*令嬢スカート*小さめ7,ハロッズ,美品,ボトムス,白,,12800,12800,12800,12800,0,0,0,
10000168,6/23/22 6:49,2022/06/23,06:49,千葉県,市原市,S美*ハロッズ/Harrods*クリーム色*可憐な美形ワンピース*小さめ5,ハロッズ,,ワンピース,クリーム,,8600,8600,8600,8000,0,0,600,
10000167,6/21/22 7:03,2022/06/21,07:03,千葉県,四街道市,美品/セオリー theory 美的ノースリーブワンピース 表記2号(9号/M相当) グレー 薄手 毛ウール混 シンプル ロング丈 春夏向け レディース,セオリー,美品,ワンピース,グレー,春夏,16280,16280,16280,16280,0,0,0,
10000166,6/20/22 0:57,2022/06/20,00:57,千葉県,鎌ケ谷市,M美/昭和レトロ/紺/可憐な小花柄/透け感/ノースリーブワンピース/9号（38号/М相当）/春夏/レディース,ノーブランド,,ワンピース,紺,春夏,6100,6000,6000,5500,0,-100,600,
10000165,6/19/22 22:25,2022/06/19,22:25,山梨県,南都留郡忍野村忍草,M新品同様/アンタイトル UNTITLED 美揺ボックスプリーツスカート 表記2号(9号/M相当) 茶/ブラウン 綿100％ 春夏向け ボトムス レディース,アンタイトル,新品同様,ボトムス,ブラウン,春夏,6551,6351,6351,5951,0,-200,600,
10000164,6/19/22 3:38,2022/06/19,03:38,静岡県,静岡市葵区,美品/ナラカミーチェ NARACAMICIE チュニック カットソー イタリア製 9号 Ｍ相当 白 ホワイト レース 綺麗め 春 夏 トップス レディース,ナラカミーチェ,美品,トップス,ホワイト,夏,7200,7000,7000,6600,0,-200,600,
10000163,6/15/22 19:11,2022/06/15,19:11,兵庫県,豊岡市,新品同様/ソレイアード SOULEIAD トゥモローランド スカート 小さい 36号 7号 S相当 紫 シフォン素材 ロング丈 春 夏 ボトムス レディース,ソレイアード,新品同様,ボトムス,紫,夏,9400,9400,9400,8800,0,0,600,
10000162,6/14/22 14:37,2022/06/14,14:37,鹿児島県,出水市,M美品/ワオスクチュール whaos COUTURE 薄手ジャケット 表記48号(11号相当) ベージュ イタリア製 麻混&綿混 春夏向け アウター レディース,ワオスクチュール,美品,アウター,ベージュ,春夏,12810,12810,12810,12810,0,0,0,
