2024-12-09,美品【中古】23区 オンワード樫山 スタンドカラーコート ウールコート 大きいサイズ 表記 48号 LL 2L 13号 相当 古着 黒 ブラック レディース 秋冬 秋 冬 アウター アンゴラ 毛混 ウール 日本製 シンプル 大人 女性 20代 30代 40代,23000,2000.0,0,秋冬,Outer,23区 オンワード樫山 スタンドカラーコート,23区 オンワード樫山 スタンドカラーコート,NIJYUSANKU,23区
2024-12-20,H美品/23区 極暖ウール100%コート 表記46号(11号Lサイズ相当) ベージュ/茶/ブラウン 秋冬向け お出掛け 謝恩会 女子会 アウター レディース,9801,0.0,600,秋冬,Outer,23区 極暖ウール100%コート 表記46号(11号Lサイズ相当),23区 極暖ウール100%コート 表記46号(11号Lサイズ相当),NIJYUSANKU,23区
2025-01-10,美品【中古】23区 オンワード樫山 フレアスカート ツイードスカート スカート 古着 表記 38号 9号 M 相当 茶 ブラウン 毛100 ウール ツイード 大人可愛い 美揺感 おしゃれ 軽やか 通勤 お出掛け 日本製 20代 30代 秋 冬 秋冬 ボトムス レディース クリーニング済み,3400,0.0,0,秋冬,Bottoms,23区 オンワード樫山 フレアスカート,23区 オンワード樫山 フレアスカート,NIJYUSANKU,23区
2025-03-17,美品/23区 テーラードジャケット 大きい 表記 50号 19号 5L 相当 グレー ストライプ柄 ロング丈 オフィス 通勤 アウター 春夏 レディース,18700,0.0,0,春夏,Outer,23区 テーラードジャケット 大きい,23区 テーラードジャケット 大きい,NIJYUSANKU,23区
2022-01-29,新品同様/J.プレス J PRESS アンサンブルニット 表記M(9号/38号相当) 青/ブルー 毛ウール100% セットアップ 春秋冬向 トップス レディース,8300,-200.0,600,秋冬,Tops,J.プレス J PRESS,J.プレス,J PRESS,J.プレス
2022-01-29,美品/J.プレス J PRESS お洒落ピーコート/ジャケット 表記M(9号/38号相当) グレー 暖かメルトン生地 通勤 秋冬向け アウター レディース,11000,-3300.0,0,秋冬,Outer,J.プレス J PRESS,J.プレス,J PRESS,J.プレス
2022-05-30,美品/J.プレス J PRESS ワンピース 表記9号 M相当 紺 ネイビー レース 綿100 コットン 半袖 前開き 襟付き クラシカル 春 夏 レディース,8520,0.0,600,春夏,Dress,J.プレス J PRESS,J.プレス,J PRESS,J.プレス
2022-11-17,美品【中古】J.プレス J PRESS オンワード樫山 フレアスカート 表記 11号 L 40号 相当 茶 ブラウン クラシカル 極小千鳥格子柄 BOXプリーツ 毛100 ウール 膝下丈 ひざ下丈 上品 おしゃれ 大人 30代 40代 50代 秋冬 秋 冬 ボトムス レディース クリーニング済み,7200,0.0,0,秋冬,Bottoms,J.プレス J PRESS,J.プレス,J PRESS,J.プレス
2023-03-07,美品【中古】J.プレス ジェイプレス J PRESS ステンカラーコート 表記 11号 L 40号 相当 ベージュ シンプル 無地 お出掛け 通勤 比翼 綿混 コットン混 長袖 ミディアム丈 大人 40代 50代 薄手 軽やか素材 春 秋 アウター レディース 裏身頃綿素材 クリーニング済み,5950,0.0,0,春秋,Outer,J.プレス ジェイプレス J,J.プレス ジェイプレス,J PRESS,J.プレス
2023-09-05,美品【中古】J.プレス ジェイプレス J PRESS ワンピース 表記 11号 L 40号 相当 古着 グレー レディース 春 夏 春夏 秋 7分袖 七分袖 毛100 ウール 薄手 シンプル 大人 女性 20代 30代 40代 膝丈 ひざ丈 日本製 おしゃれ 上品,13800,1000.0,0,春夏,Dress,J.プレス ジェイプレス J,J.プレス ジェイプレス,J PRESS,J.プレス
2024-10-17,新品同様【中古】J.プレス ジェイプレス J PRESS 台形スカート スカート 表記 9号 M 38号 相当 濃紺 ネイビー 紺 レディース 春夏 春 夏 ボトムス シンプル 薄手 綿混 コットン 膝丈 ひざ丈 大人 女性 20代 30代 40代 オフィス 通勤 美脚 脚長効果 オンワード樫山,9000,0.0,0,春夏,Bottoms,J.プレス ジェイプレス J,J.プレス ジェイプレス,J PRESS,J.プレス
2024-10-26,M新品同様/J.プレス J PRESS 美編みショート丈ニット 表記M(9号/38号相当) グレー 柔ウール100% トナカイ柄 秋冬向け トップス レディース,4210,0.0,0,秋冬,Tops,J.プレス J PRESS,J.プレス,J PRESS,J.プレス
2024-12-04,美品【中古】J.プレス ジェイプレス JPRESS タイトワンピース 襟付きワンピース ワンピース レディース 表記 11号 L 40号 相当 黒 ブラック 毛 ウール シンプル 無地 美柄レース レース襟 膝丈 ひざ丈 おしゃれ 上品 大人 女性 お食事会 お出掛け 秋 冬 秋冬 20代 30代 40代,21500,2000.0,0,秋冬,Dress,J.プレス ジェイプレス JPRESS,J.プレス ジェイプレス,J PRESS,J.プレス
2023-08-16,H新品同様/Jプレス J.PRESS 大人ボタニカルシャツ 表記11号(Lサイズ相当) グレー 春秋向け 透け感 お出掛け お食事会 トップス レディース,5480,0.0,600,春秋,Tops,Jプレス J.PRESS 大人ボタニカルシャツ,Jプレス 大人ボタニカルシャツ,J PRESS,Jプレス
2023-03-26,新品同様/かまくら辻ヶ花 高級ちりめん素材ジャケット 大きいサイズ 13号/LL相当 紺/ネイビー 花柄 60代 70代 春秋向 アウター レディース,17820,0.0,0,春秋,Outer,かまくら辻ヶ花 高級ちりめん素材ジャケット 大きいサイズ,かまくら辻ヶ花 高級ちりめん素材ジャケット 大きいサイズ,Kamakura Tsujigahana,かまくら辻ヶ花
2021-09-05,【中古】ちぐさボーベル CHIGUSA Bowbell 濃黒 上質カシミヤ高級スタイルコート 9号 レディース アウター,14500,1000.0,0,秋冬,Outer,ちぐさボーベル CHIGUSA Bowbell,ちぐさボーベル,CHIGUSA Bowbell,ちぐさボーベル
2022-12-04,美品【中古】ちぐさボーベル Bowbell ジャケット ステンカラージャケット 大きいサイズ 表記 17号 4L  相当 グレー系 イタリア製生地 ベロア 異素材 単品 お出掛け お呼ばれ お食事会 大人 50代 60代 秋冬 秋 冬 日本製 アウター レディース クリーニング後お渡し,11000,1000.0,0,秋冬,Outer,ちぐさボーベル Bowbell ジャケット,ちぐさボーベル ジャケット,CHIGUSA Bowbell,ちぐさボーベル
2023-01-01,美品【中古】ちぐさボーベル CHIGUSA Bowbell 黒 ブラック 異素材 素敵カットソー 大きいサイズ 13号 トップス 春秋 レディース,27750,0.0,0,春秋,Tops,ちぐさボーベル CHIGUSA Bowbell,ちぐさボーベル,CHIGUSA Bowbell,ちぐさボーベル
2023-01-11,美品【中古】ちぐさボーベル Bowbell 華やかフォーマルジャケット 大きいサイズ 表記15号(3L相当) 刺繍 ラメ 結婚式 春夏秋向け アウター レディース,23000,6900.0,0,春夏,Outer,ちぐさボーベル Bowbell 華やかフォーマルジャケット,ちぐさボーベル 華やかフォーマルジャケット,CHIGUSA Bowbell,ちぐさボーベル
2023-01-22,新品同様【中古】ちぐさボーベル Bowbell ジャケット コート 古着 大きいサイズ 大きい 表記 13号 LL 2L 相当 ワインレッド ボルドー イタリア製生地 綿 コットン 軽い 暖かい おしゃれ きれいめ 立体柄 日本製 大人 50代 60代 秋 冬 秋冬 アウター レディース 美品,44000,22000.0,0,秋冬,Outer,ちぐさボーベル Bowbell ジャケット,ちぐさボーベル ジャケット,CHIGUSA Bowbell,ちぐさボーベル
2023-03-24,美品【中古】ちぐさボーベル Bowbell ノーカラージャケット 大きいサイズ 表記 15号 3L 相当 グレー系 単品 ちりめん 生地 伸縮 大人 おしゃれ お洒落 クラシカル 和柄風 50代 60代 お出掛け 秋冬 春 秋 冬 アウター レディース ポケット未使用 クリーニング後お渡し,20000,6000.0,0,秋冬,Outer,ちぐさボーベル Bowbell ノーカラージャケット,ちぐさボーベル ノーカラージャケット,CHIGUSA Bowbell,ちぐさボーベル
2023-09-05,美品【中古】ちぐさボーベル Bowbell 上品な羽織りジャケット 大きいサイズ 表記17号(４L相当) 緑 青 美花柄 パーティー 春夏向け アウター レディース,27750,2000.0,0,春夏,Outer,ちぐさボーベル Bowbell 上品な羽織りジャケット,ちぐさボーベル 上品な羽織りジャケット,CHIGUSA Bowbell,ちぐさボーベル
2023-11-18,美品/ちぐさボーベル Bowbell チェスターコート 大きい 表記 15号 3L 相当 黒 ブラック 毛 ウール シンプル 無地 秋冬 アウター レディース,28380,1500.0,0,秋冬,Outer,ちぐさボーベル Bowbell チェスターコート,ちぐさボーベル チェスターコート,CHIGUSA Bowbell,ちぐさボーベル
2024-07-04,美品【中古】ちぐさボーベル Chigusa Bowbell ワンピーススーツ セットアップ 表記 11号 L 40号 相当 古着 炭黒色 黒系 ブラック系 レディース 秋 冬 秋冬 ウール 毛 ふっくら 大人 女性 50代 60代 おしゃれ ジャケット ワンピース,11150,1000.0,0,秋冬,Outer,ちぐさボーベル Chigusa Bowbell,ちぐさボーベル,CHIGUSA Bowbell,ちぐさボーベル
2024-12-07,美品【中古】ちぐさボーベル Bowbell 上品チェスターコート 表記11号(40号/L相当) 黒/ブラック 毛ウール100% 冠婚葬祭 秋冬向 アウター レディース,13350,0.0,0,秋冬,Outer,ちぐさボーベル Bowbell 上品チェスターコート,ちぐさボーベル 上品チェスターコート,CHIGUSA Bowbell,ちぐさボーベル
2025-01-27,M美品/Bowbell ちぐさボーベル 美形ジャケット 大きいサイズ13号(42号/LL相当) ピンク ウール100 格子柄 クラシカル 秋冬向け レディース,16000,0.0,0,秋冬,Outer,Bowbell ちぐさボーベル 美形ジャケット,ちぐさボーベル 美形ジャケット,CHIGUSA Bowbell,ちぐさボーベル
