Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,25.9,28.8,24.7,90.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,28.1,31.3,25.6,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,78100,2,0,46860,0,0,0,0,0,1,0,0,0,1,31.0,36.8,27.2,0.0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29.2,33.5,25.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26.0,29.2,23.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.5,25.4,20.5,20.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,6820,1,600,0,0,0,1,0,0,0,0,1,1,0,22.3,25.6,20.1,77.0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,14500,1,0,0,0,0,0,1,0,0,0,1,1,0,19.3,20.2,18.4,138.5,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20.7,22.5,19.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,44000,3,600,100,0,0,0,0,0,1,0,0,1,0,23.7,27.4,20.7,23.5,0,1,0,2,0,0,1,0,0,2,0,0
0,0,2,29700,2,0,500,0,0,0,0,0,0,1,0,1,0,27.0,31.3,24.5,3.0,0,0,1,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28.5,33.8,25.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,31680,2,0,0,1,0,0,0,0,0,0,0,0,0,28.7,33.7,25.2,0.0,0,0,0,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,27.9,32.1,24.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.5,33.6,25.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,12100,1,0,0,0,1,0,0,0,0,0,0,1,0,26.9,30.3,22.2,2.5,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,7700,1,600,0,0,0,0,0,0,1,0,0,1,0,27.5,31.0,23.9,0.0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29.4,34.4,26.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.5,35.7,26.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,8800,1,600,0,1,0,0,0,0,0,0,0,1,0,30.0,34.3,26.9,0.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,29.8,34.8,26.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.5,32.8,26.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29.2,33.8,26.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.9,32.4,21.2,17.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.7,23.5,18.3,3.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.4,20.6,18.4,18.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.7,21.4,18.7,17.0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,74990,7,0,1000,0,0,1,0,0,0,0,1,1,0,20.6,22.9,19.2,14.0,0,2,1,1,0,3,1,0,3,0,3,0
4,1,1,89300,6,0,21527,0,0,0,1,0,0,0,1,1,1,21.0,24.7,18.6,10.0,0,1,0,1,1,3,3,0,1,2,0,0
3,1,6,120700,10,0,534200,0,1,0,0,0,0,0,0,1,1,19.9,21.8,18.1,8.5,0,0,0,1,2,9,2,1,2,2,3,2
