,OrderTime,Brand,TotalPrice,Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High
1760,2021-12-04 00:00:00,ウンガロ,24766,0,0,0,0,1,0
1761,2021-12-04 00:00:00,銀座マギー,10553,0,0,0,1,0,0
1762,2021-12-04 00:00:00,キヨコタカセ,14152,0,0,1,0,0,0
1763,2021-12-04 00:00:00,斉藤都世子,53375,0,0,0,0,0,1
1764,2021-12-04 00:00:00,ハナエモリ,17812,0,0,1,0,0,0
1756,2021-12-04 00:00:00,群言堂,16958,0,0,1,0,0,0
1742,2021-12-05 00:00:00,ローラアシュレイ,27938,0,0,0,1,0,0
1740,2021-12-05 00:00:00,伊太利屋,7747,0,0,0,1,0,0
1741,2021-12-05 00:00:00,ピエールカルダン,10065,0,0,0,1,0,0
1743,2021-12-05 00:00:00,ラルフローレン,27938,0,0,1,0,0,0
1747,2021-12-05 00:00:00,伊太利屋,6710,0,0,0,1,0,0
1745,2021-12-05 00:00:00,エムズグレイシー,13420,0,0,0,0,1,0
1744,2021-12-05 00:00:00,レリアン,27938,0,0,0,0,0,1
1748,2021-12-05 00:00:00,レリアン,17600,0,0,0,0,0,1
1746,2021-12-05 00:00:00,トリーバーチ,11102,0,0,1,0,0,0
1739,2021-12-06 00:00:00,ユキコハナイ,18300,0,0,1,0,0,0
1738,2021-12-06 00:00:00,グリーンレーベルリラクシング,12200,0,1,0,0,0,0
1737,2021-12-06 00:00:00,アイシービー,10370,0,0,0,0,1,0
1736,2021-12-07 00:00:00,レリアン,26070,0,0,0,0,0,1
1735,2021-12-07 00:00:00,ミスアシダ,11000,0,0,1,0,0,0
1734,2021-12-08 00:00:00,レナランゲ,35380,0,0,0,0,0,1
1731,2021-12-09 00:00:00,ビースリー,8080,0,1,0,0,0,0
1732,2021-12-09 00:00:00,バナナリパブリック,11440,0,0,1,0,0,0
1733,2021-12-09 00:00:00,ファーショルダーバッグ,1850,1,0,0,0,0,0
1729,2021-12-10 00:00:00,ファーショルダーバッグ,1850,1,0,0,0,0,0
1728,2021-12-10 00:00:00,クリツィア,24278,0,0,0,0,1,0
1727,2021-12-10 00:00:00,マギー,24278,0,0,1,0,0,0
1726,2021-12-10 00:00:00,モガ,8300,0,1,0,0,0,0
1730,2021-12-10 00:00:00,R AND CO,24278,0,0,0,0,1,0
1725,2021-12-11 00:00:00,ジュンアシダ,18800,0,0,0,0,1,0
1724,2021-12-11 00:00:00,銀座マギー,18300,0,0,0,1,0,0
1722,2021-12-13 00:00:00,ドゥクラッセ,9070,0,1,0,0,0,0
1723,2021-12-13 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1720,2021-12-14 00:00:00,ピエールカルダン,18700,0,0,0,1,0,0
1721,2021-12-14 00:00:00,オールドイングランド,12500,0,0,0,1,0,0
1719,2021-12-17 00:00:00,シャミー,8300,0,1,0,0,0,0
1718,2021-12-18 00:00:00,ファーバッグ,2780,1,0,0,0,0,0
1716,2021-12-20 00:00:00,ノーベスパジオ,42800,0,0,0,0,1,0
1715,2021-12-20 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1714,2021-12-20 00:00:00,ローラアシュレイ,18700,0,0,0,1,0,0
1717,2021-12-20 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1713,2021-12-21 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1712,2021-12-21 00:00:00,東京ソワール,30000,0,0,0,0,1,0
1711,2021-12-22 00:00:00,アリスバーリー,12700,0,0,0,1,0,0
1710,2021-12-23 00:00:00,ファーバッグ,2780,1,0,0,0,0,0
1709,2021-12-25 00:00:00,23区,8700,0,0,1,0,0,0
1708,2021-12-25 00:00:00,ボッシュ,13700,0,0,1,0,0,0
1707,2021-12-26 00:00:00,レリアン,13300,0,0,0,0,0,1
1706,2021-12-26 00:00:00,エスタコット,11000,0,0,1,0,0,0
1705,2021-12-26 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1704,2021-12-28 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1702,2021-12-30 00:00:00,ピエールカルダン,18700,0,0,0,1,0,0
1703,2021-12-30 00:00:00,キャラオクルス,16500,0,0,1,0,0,0
1701,2022-01-01 00:00:00,マンシングウエア,16900,0,0,1,0,0,0
1700,2022-01-01 00:00:00,マンシングウエア,7000,0,0,1,0,0,0
1699,2022-01-01 00:00:00,ノーブランド,1984,0,1,0,0,0,0
1698,2022-01-01 00:00:00,ノコオーノ,66300,0,0,0,0,0,1
1697,2022-01-01 00:00:00,ヒロココシノ,66300,0,0,0,1,0,0
1696,2022-01-01 00:00:00,リオラ,66300,0,0,0,0,0,1
